PL,NAME,YEAR,TEAM,TIME,SOURCE_FILE,EVENT_DATE
1,Steven Scott,FR-1,Franklin 22.99,10,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
2,Ian Lemons,JR-3,Rose-Hulman 23.33,8,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
3,Stephon Pugh,FR-1,Rose-Hulman 24.23,6,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
4,Cameron Dorsey,SR-4,Rose-Hulman 24.54,4,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
5,Micah Williams,FR-1,Earlham 24.67,2,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
6,Isaac Elizondo,FR-1,Anderson (Ind.) 24.69,1,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
1,Steven Scott,FR-1,Franklin 22.99,10,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
2,Ian Lemons,JR-3,Rose-Hulman 23.33,8,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
3,Stephon Pugh,FR-1,Rose-Hulman 24.23,6,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
5,Micah Williams,FR-1,Earlham 24.67,2,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
4,Cameron Dorsey,SR-4,Rose-Hulman 24.54,4,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
6,Isaac Elizondo,FR-1,Anderson (Ind.) 24.69,1,TFRRS _ '24 FNS _Conference Tune-up_ Meet - Men's 200 Meters.pdf,"February 16, 2024"
1,Michael Wright,FR-1,Adrian 22.49,10,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
2,Joseph Ritzer,SR-4,Hillsdale 22.57,8,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
3,Drew Ransom,FR-1,Hillsdale 22.71,6,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
4,Jamahl Burke,JR-3,Hillsdale 22.82,5,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
5,Benu Meintjes,SR-4,Hillsdale 22.89,4,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
6,Owen Gardner,JR-3,Hillsdale 23.25,3,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
7,John Coleman,FR-1,Trine 23.45,2,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
8,Alan Jones,,Unattached 23.59,1,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
1,Michael Wright,FR-1,Adrian 22.49,10,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
3,Drew Ransom,FR-1,Hillsdale 22.71,6,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
4,Jamahl Burke,JR-3,Hillsdale 22.82,5,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
5,Benu Meintjes,SR-4,Hillsdale 22.89,4,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
2,Joseph Ritzer,SR-4,Hillsdale 22.57,8,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
6,Owen Gardner,JR-3,Hillsdale 23.25,3,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
8,Alan Jones,,Unattached 23.59,1,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
7,John Coleman,FR-1,Trine 23.45,2,TFRRS _ 2024 Hillsdale Tune-Up - Men's 200 Meters.pdf,"February 17, 2024"
1,Tristin Collins,,Junior Unattached 22.20,10,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
2,Kai Lauderdale,,Sophomore Long Beach 22.40,8,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
3,Justin Auston,,Freshman Long Beach 22.99,6,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
4,Tony Espinosa,,Freshman Fullerton 23.73,5,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
5,Samuel Okerson,,Sophomore Fullerton 23.93,4,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
6,Darryl Auston,,Freshman East LA 24.20,3,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
7,Manuel Castrejon,,Freshman East LA 24.24,2,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
8,Jacob Quinn,,Freshman Santa Ana 24.32,1,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
1,Tristin Collins,,Junior Unattached 22.20,10,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
2,Kai Lauderdale,,Sophomore Long Beach 22.40,8,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
3,Justin Auston,,Freshman Long Beach 22.99,6,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
6,Darryl Auston,,Freshman East LA 24.20,3,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
7,Manuel Castrejon,,Freshman East LA 24.24,2,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
4,Tony Espinosa,,Freshman Fullerton 23.73,5,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
5,Samuel Okerson,,Sophomore Fullerton 23.93,4,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
8,Jacob Quinn,,Freshman Santa Ana 24.32,1,TFRRS _ 2024 LBCC Ron Allice Open - Men's 200 Meters.pdf,"February 16, 2024"
1,Josh Yearby,FR-1,Beloit 23.05,10,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
2,Austin Knight,SO-2,Concordia Univ. Chicago 23.15,8,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
3,Miguel Sanchez,FR-1,Concordia Univ. Chicago 23.16,6,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
4,Henry Jones,FR-1,Concordia Univ. Chicago 23.36,5,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
5,William Moursund,SO-2,U. of Chicago 23.58,4,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
6,Isaac Kruger,,23.71,3,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
7,Kyle Obermeyer,FR-1,U. of Chicago 23.72,2,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
8,Gabriel Eribo,FR-1,U. of Chicago 23.72,1,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
6,Isaac Kruger Northwestern,,University Club 23.71,3,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
7,Kyle Obermeyer,FR-1,U. of Chicago 23.72,2,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
8,Gabriel Eribo,FR-1,U. of Chicago 23.72,1,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
2,Austin Knight,SO-2,Concordia Univ. Chicago 23.15,8,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
4,Henry Jones,FR-1,Concordia Univ. Chicago 23.36,5,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
5,William Moursund,SO-2,U. of Chicago 23.58,4,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
1,Josh Yearby,FR-1,Beloit 23.05,10,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
3,Miguel Sanchez,FR-1,Concordia Univ. Chicago 23.16,6,TFRRS _ 2024 Margaret Bradley Invitati - Men's 200 Meters.pdf,"February 17, 2024"
1,Diego Yun,FR-1,Mount St. Joseph 23.26,10,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
2,CJ Thimons,SR-4,Xavier (Ohio) 23.40,8,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
3,Kyle Evers,SO-2,Smith Mount St. Joseph 23.46,6,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
4,Erik Perkins,JR-3,Hanover 23.52,4,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
5,Mikhail Walker,FR-1,Mount St. Joseph 23.61,2,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
6,Zach McKenna,SR-4,Mount St. Joseph 23.94,1,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
6,Zach McKenna,SR-4,Mount St. Joseph 23.94,1,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
3,Kyle Evers,SO-2,Smith Mount St. Joseph 23.46,6,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
1,Diego Yun,FR-1,Mount St. Joseph 23.26,10,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
2,CJ Thimons,SR-4,Xavier (Ohio) 23.40,8,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
4,Erik Perkins,JR-3,Hanover 23.52,4,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
5,Mikhail Walker,FR-1,Mount St. Joseph 23.61,2,TFRRS _ 2024 MSJ FEBRUARY MEET - Men's 200 Meters.pdf,"February 17, 2024"
1,Josiyah Taylor,FR-1,Fort Scott CC 21.00,10,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
2,Jonathan Farinha,SO-2,Butler CC 21.29,8,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
3,Durrell Collins,FR-1,Fort Scott CC 21.39,6,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
4,Johnathan Crawford,SO-2,Coffeyville CC 21.42,5,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
5,Wanyae Belle,FR-1,Barton County CC 21.69,4,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
6,Devian King,SO-2,Butler CC 21.75,3,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
7,Michael Nworu,FR-1,Fort Scott CC 21.77,2,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
8,Jamal Flowers,SO-2,Colby CC 21.95,1,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
3,Durrell Collins,FR-1,Fort Scott CC 21.39,6,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
4,Johnathan Crawford,SO-2,Coffeyville CC 21.42,5,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
6,Devian King,SO-2,Butler CC 21.75,3,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
7,Michael Nworu,FR-1,Fort Scott CC 21.77,2,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
8,Jamal Flowers,SO-2,Colby CC 21.95,1,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
1,Josiyah Taylor,FR-1,Fort Scott CC 21.00,10,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
2,Jonathan Farinha,SO-2,Butler CC 21.29,8,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
5,Wanyae Belle,FR-1,Barton County CC 21.69,4,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
1,Josiyah Taylor,FR-1,Fort Scott CC,21.03,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
2,Jonathan Farinha,SO-2,Butler CC,21.45,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
3,Wanyae Belle,FR-1,Barton County CC,21.55,TFRRS _ 2024 Region VI_KJCCC Indoor Championships - Men's 200 Meters.pdf,"February 17-18, 2024"
